bug	sim-bug	patch	sim-patch	b1	b2	b3	b4	b-BLEU-cum	b-BLEU-ave	b-jaccard	p1	p2	p3	p4	p-BLEU-cum	p-jaccard	p-BLEU-ave
public void setup ( ) {	public void setup ( ) {	public static void setup ( ) {	public void setUp ( ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7142857142857143	0.3333333333333333	0.2	0	0	0.24305555555555555	0.3119047619047619
private boolean enabled ;	private boolean enabled ;	private boolean enabled = true ;	private boolean enabled = true ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private boolean enabled ;	private boolean enabled ;	private boolean enabled = true ;	private boolean enabled = true ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private boolean enabled ;	private boolean enabled ;	private boolean enabled = true ;	private boolean enabled = true ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	Thread . sleep ( 1100 ) ;	Thread . sleep ( 3000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	Thread . sleep ( 1100 ) ;	Thread . sleep ( 3000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 1000 ) ;	Thread . sleep ( 1000 ) ;	Thread . sleep ( 1100 ) ;	Thread . sleep ( 2500 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
private String name ;	private String name ;	private String name = Broadcaster . ROOT_MASTER ;	private String name = DEFAULT_NAME ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	0.42857142857142855	0.3333333333333333	0.2	0.3655552228545123	0.3204365079365079	0.39672619047619045
if ( s = = null ) {	if ( s = = null ) {	"if ( s = = null | | ! ""true"" . equalsIgnoreCase ( s ) ) {"	"if ( s = = null | | """" . equals ( s ) ) {"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8235294117647058	0.6875	0.6	0.5	0.6419752245682109	0.4922932330827068	0.6527573529411764
if ( editor ! = null ) {	if ( editor ! = null ) {	if ( editor ! = null & & editor . getControl ( ) ! = null ) {	if ( editor ! = null & & ! editor . isDisposed ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	0.5882352941176471	0.375	0.3333333333333333	0.4975307887399217	0.45289855072463775	0.5324754901960784
private static final boolean debug = true ;	private static final boolean debug = true ;	private static final boolean debug = false ;	private static final boolean debug = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean debug = true ;	private static final boolean debug = true ;	private static final boolean debug = false ;	private static final boolean debug = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
private static final boolean debug = true ;	private static final boolean debug = true ;	private static final boolean debug = false ;	private static final boolean debug = false ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
} catch ( NullPointerException e ) {	} catch ( NullPointerException e ) {	} catch ( NullPointerException | NoSuchKeyException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( NullPointerException e ) {	} catch ( NullPointerException e ) {	} catch ( NullPointerException | NoSuchKeyException e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.5	0.2857142857142857	0	0	0.3	0.363095238095238
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NoSuchMethodError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NoSuchMethodError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( NoSuchMethodError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
Thread . sleep ( 200 ) ;	Thread . sleep ( 200 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 250 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 200 ) ;	Thread . sleep ( 200 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 1000 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
Thread . sleep ( 200 ) ;	Thread . sleep ( 200 ) ;	Thread . sleep ( 2000 ) ;	Thread . sleep ( 100 ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
if ( value ! = null ) {	if ( value ! = null ) {	if ( value ! = null & & ! value . isNull ( ) ) {	if ( value ! = null & & ( ( existingRanges . get ( i ) . second ( ) ) ! = ( existingRanges . get ( i ) . first ( ) ) ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.22123464632915316	0.16855973053649764	0.14447976903128368	0.09724599838644095	0.15129390647949398	0.3313015995872033	0.15788003607084386
if ( value ! = null ) {	if ( value ! = null ) {	if ( value ! = null & & ! value . isNull ( ) ) {	if ( value ! = null & & ! value . toString ( ) . isEmpty ( ) ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.730125734129442	0.6749606786618843	0.6119149009846753	0.539169772895588	0.6349991933341887	0.5929029304029304	0.6390427716678975
LOG . error ( e ) ;	LOG . error ( e ) ;	LOG . warn ( e ) ;	"LOG . error ( ""Can't read settings for "" + tool , e ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.27334847770626036	0.15945327866198522	0.06378131146479409	0	0	0.15257352941176472	0.12414576695825992
LOG . error ( e ) ;	LOG . error ( e ) ;	LOG . warn ( e ) ;	LOG . info ( e ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
LOG . error ( e ) ;	LOG . error ( e ) ;	LOG . warn ( e ) ;	LOG . debug ( e ) ;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0.25	0.488923022434901	0.4107142857142857	0.5434523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( StackOverflowError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( StackOverflowError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
} catch ( Exception e ) {	} catch ( Exception e ) {	} catch ( StackOverflowError e ) {	} catch ( Throwable e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	0.6666666666666666	0.4	0	0	0.375	0.4809523809523809
if ( properties ! = null ) {	if ( properties ! = null ) {	if ( properties = = null ) {	if ( properties ! = null & & properties . size ( ) > 0 ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.284070908938556	0.1855156956333427	0.05410874455972496	0	0	0.19974696356275304	0.1309238372829059
throwable . printStackTrace ( ) ;	throwable . printStackTrace ( ) ;	throwable . printStackTrace ( System . err ) ;	"logger . error ( ""Error in testCloseHandles"" , throwable ) ;"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.44485411273156	0.10009217536460102	0	0	0	0.10399159663865547	0.13623657202404027
@Test ( timeout = 60000 )	@Test ( timeout = 60000 )	@Test	@Test ( timeout = 300000 )	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0.041666666666666664	0.0
@Test ( timeout = 600000 )	@Test ( timeout = 600000 )	@Test ( timeout = 1800000 )	@Test	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.16666666666666669	0	0	0	0	0.041666666666666664	0.04166666666666667
} catch ( IOException e ) {	} catch ( IOException e ) {	} catch ( Exception e ) {	} catch ( Exception e ) {	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
